gold,binary/expert-explanation/llama3.2-3b/zero-shot.csv
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
0,-1
1,-1
1,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
0,-1
0,-1
0,-1
1,-1
0,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
0,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
0,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
0,-1
0,-1
1,-1
1,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0,-1
0,-1
0,-1
0,-1
1,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
0,-1
1,-1
0,-1
1,-1
