gold,binary/expert_cot/llama3.2-3b/zero-shot.csv,binary/expert_cot/llama3.1-8b/zero-shot.csv
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
0,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
